target_id	model_id	TP	FP	precision	FPR	recall	F1	F2	F05	BA	EF	num_uniq_F	max_edge	features
CHEMBL211	tr12_pharm5_13	4	10	0.286	0.014	0.01	0.02	0.013	0.045	0.498	0.844	4	9.089839061827249	AAPHH
CHEMBL211	tr12_pharm5_0	3	4	0.429	0.006	0.008	0.015	0.01	0.036	0.501	1.266	4	8.952120004142394	APHHH
CHEMBL211	tr12_pharm5_2	3	6	0.333	0.008	0.008	0.015	0.01	0.035	0.5	0.985	4	10.691559241588765	AAPHH
CHEMBL211	tr12_pharm5_44	3	7	0.3	0.01	0.008	0.015	0.01	0.035	0.499	0.886	4	9.0207601219875	APHHH
CHEMBL211	tr12_pharm5_46	3	8	0.273	0.011	0.008	0.015	0.01	0.035	0.498	0.806	4	8.623900459169477	APHHH
CHEMBL211	tr12_pharm5_14	3	9	0.25	0.012	0.008	0.015	0.01	0.034	0.498	0.739	4	8.059254660874604	APHHH
CHEMBL211	tr12_pharm5_11	3	9	0.25	0.012	0.008	0.015	0.01	0.034	0.498	0.739	4	9.12449779841191	AAPHH
CHEMBL211	tr12_pharm5_38	3	10	0.231	0.014	0.008	0.015	0.01	0.034	0.497	0.682	4	8.50308392189551	APHHH
CHEMBL211	tr12_pharm5_40	3	9	0.25	0.012	0.008	0.015	0.01	0.034	0.498	0.739	4	9.521189830175237	AAPHH
CHEMBL211	tr12_pharm5_39	3	10	0.231	0.014	0.008	0.015	0.01	0.034	0.497	0.682	4	10.78265567887379	AAPHH
CHEMBL211	tr12_pharm5_21	3	16	0.158	0.022	0.008	0.015	0.01	0.032	0.493	0.466	4	10.197110041455336	AAPHH
CHEMBL211	tr12_pharm5_6	3	16	0.158	0.022	0.008	0.015	0.01	0.032	0.493	0.466	4	10.972778448176069	AAPHH
CHEMBL211	tr12_pharm5_19	2	6	0.25	0.008	0.005	0.01	0.006	0.024	0.498	0.739	4	8.729828640422918	APHHH
CHEMBL211	tr12_pharm5_43	2	6	0.25	0.008	0.005	0.01	0.006	0.024	0.498	0.739	4	9.956067801158062	AAPHH
CHEMBL211	tr12_pharm5_35	2	6	0.25	0.008	0.005	0.01	0.006	0.024	0.498	0.739	4	9.080852033628936	APHHH
CHEMBL211	tr12_pharm5_47	2	11	0.154	0.015	0.005	0.01	0.006	0.023	0.495	0.454	4	9.463786726841748	AAPHH
CHEMBL211	tr12_pharm5_41	2	8	0.2	0.011	0.005	0.01	0.006	0.023	0.497	0.591	4	8.763325858990518	AAPHH
CHEMBL211	tr12_pharm5_29	2	8	0.2	0.011	0.005	0.01	0.006	0.023	0.497	0.591	4	7.3934130782962875	APHHH
CHEMBL211	tr12_pharm5_45	2	8	0.2	0.011	0.005	0.01	0.006	0.023	0.497	0.591	4	9.545478738876405	AAPHH
CHEMBL211	tr12_pharm5_17	2	11	0.154	0.015	0.005	0.01	0.006	0.023	0.495	0.454	4	9.702910965351947	AAPHH
CHEMBL211	tr12_pharm5_9	2	10	0.167	0.014	0.005	0.01	0.006	0.023	0.496	0.492	4	9.12449779841191	AAPHH
CHEMBL211	tr12_pharm5_31	1	9	0.1	0.012	0.003	0.005	0.003	0.012	0.495	0.295	4	7.7157045540623175	APHHH
CHEMBL211	tr12_pharm5_23	1	7	0.125	0.01	0.003	0.005	0.003	0.012	0.496	0.369	4	10.524026858284753	AAPHH
CHEMBL211	tr12_pharm5_42	1	7	0.125	0.01	0.003	0.005	0.003	0.012	0.496	0.369	4	8.438107461592264	APHHH
CHEMBL211	tr12_pharm5_28	1	9	0.1	0.012	0.003	0.005	0.003	0.012	0.495	0.295	4	9.478368311254735	AAPHH
CHEMBL211	tr12_pharm5_16	1	5	0.167	0.007	0.003	0.005	0.003	0.012	0.498	0.492	4	9.540412277529038	AAPHH
CHEMBL211	tr12_pharm5_4	1	6	0.143	0.008	0.003	0.005	0.003	0.012	0.497	0.422	4	9.571783984696935	AAPHH
CHEMBL211	tr12_pharm5_30	1	8	0.111	0.011	0.003	0.005	0.003	0.012	0.496	0.328	4	9.778444987549275	APHHH
CHEMBL211	tr12_pharm5_32	1	5	0.167	0.007	0.003	0.005	0.003	0.012	0.498	0.492	4	9.327697613342274	APHHH
CHEMBL211	tr12_pharm5_7	1	6	0.143	0.008	0.003	0.005	0.003	0.012	0.497	0.422	4	8.503157654489476	APHHH
CHEMBL211	tr12_pharm5_36	1	7	0.125	0.01	0.003	0.005	0.003	0.012	0.496	0.369	4	7.2734953639952815	APHHH
CHEMBL211	tr12_pharm5_22	1	8	0.111	0.011	0.003	0.005	0.003	0.012	0.496	0.328	4	9.772686972081091	APHHH
CHEMBL211	tr12_pharm5_34	1	12	0.077	0.017	0.003	0.005	0.003	0.011	0.493	0.227	4	9.27384835024456	AAPHH
CHEMBL211	tr36_pharm4_0	21	14	0.6	0.019	0.054000000000000006	0.099	0.066	0.19899999999999998	0.517	1.7730000000000001	3	3.4266578968805486	aAHH
CHEMBL211	tr55_pharm6_8	16	14	0.5329999999999999	0.019	0.040999999999999995	0.077	0.051	0.157	0.511	1.5759999999999998	4	7.39991659128483	aAPHHH
CHEMBL211	tr55_pharm6_5	15	15	0.5	0.021	0.039	0.07200000000000001	0.047	0.14800000000000002	0.509	1.4769999999999999	4	7.441389395328112	aAPHHH
CHEMBL211	tr55_pharm6_4	11	5	0.688	0.006999999999999999	0.027999999999999997	0.054000000000000006	0.035	0.122	0.511	2.031	4	7.170860166474903	aAAPHH
CHEMBL211	tr55_pharm6_0	10	4	0.7140000000000001	0.006	0.026000000000000002	0.05	0.032	0.113	0.51	2.11	4	7.609286722208622	aAAPHH
CHEMBL211	tr55_pharm6_3	9	3	0.75	0.004	0.023	0.045	0.028999999999999998	0.10300000000000001	0.51	2.2159999999999997	4	6.9923227132011725	aAPHHH
CHEMBL211	tr55_pharm6_2	9	6	0.6	0.008	0.023	0.045	0.028999999999999998	0.1	0.507	1.7730000000000001	4	6.549407897393805	aAPHHH
CHEMBL211	tr55_pharm6_1	6	4	0.6	0.006	0.015	0.03	0.019	0.07	0.505	1.7730000000000001	4	6.541857611998672	aAAPHH
CHEMBL211	tr55_pharm6_6	5	2	0.7140000000000001	0.003	0.013000000000000001	0.025	0.016	0.06	0.505	2.11	4	7.8831550010284674	aAAPHH
CHEMBL211	tr55_pharm6_7	5	2	0.7140000000000001	0.003	0.013000000000000001	0.025	0.016	0.06	0.505	2.11	4	7.571037430490037	aAAPHH
CHEMBL211	tr26_pharm4_0	4	2	0.667	0.003	0.01	0.02	0.013000000000000001	0.049	0.504	1.969	3	16.520118548932768	DAPH
CHEMBL211	tr25_pharm8_2	0	0	0	0	0	0	0	0	0	0	5	7.6983243829027925	aaDAHHHH
CHEMBL211	tr25_pharm8_0	0	0	0	0	0	0	0	0	0	0	5	7.481318364858009	aaDAPHHH
CHEMBL211	tr25_pharm8_1	2	0	1.0	0.0	0.005	0.01	0.006	0.025	0.503	2.954	5	6.416216257763955	aaDAPHHH
CHEMBL211	tr2_pharm7_1	3	14	0.17600000000000002	0.019	0.008	0.015	0.01	0.033	0.494	0.521	4	7.079986786226714	aaAAPHH
CHEMBL211	tr2_pharm7_0	2	13	0.133	0.018000000000000002	0.005	0.01	0.006	0.022000000000000002	0.494	0.39399999999999996	4	7.0881236401840075	aaAAPHH
CHEMBL211	tr2_pharm7_2	1	16	0.059000000000000004	0.022000000000000002	0.003	0.005	0.003	0.011000000000000001	0.49	0.174	4	6.671115375379768	aaAAPHH
